variety name,product type,package type,amount,net weight received,account,weighed by,checked by,approved by,room,source lot number,purchase order,date,organization_id
Granddaddy Purple,sift,unpackaged,1929,1799,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Granddaddy Purple,biomass,unpackaged,560,8199,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Granddaddy Purple,hash,unpackaged,5789,9419,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,seeds,packaged,9000,3896,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,plants,packaged,6461,3483,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,g-wet,packaged,725,206,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,dry,packaged,3115,3492,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,cured,packaged,3687,8961,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,crude,packaged,7618,7815,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,distilled,packaged,9361,1781,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,terpene,packaged,3984,5054,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,sift,packaged,4706,6219,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,biomass,packaged,639,5867,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,hash,packaged,8738,1685,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,seeds,unpackaged,2827,7095,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,plants,unpackaged,9552,868,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,g-wet,unpackaged,2941,3351,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,dry,unpackaged,2971,645,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,cured,unpackaged,5611,6173,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,crude,unpackaged,3518,9491,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,distilled,unpackaged,6164,2162,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,terpene,unpackaged,8600,9545,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,sift,unpackaged,6941,6043,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,biomass,unpackaged,7094,7037,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Punch,hash,unpackaged,7519,879,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,seeds,packaged,8928,5901,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,plants,packaged,3214,835,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,g-wet,packaged,4185,7960,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,dry,packaged,2975,6344,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,cured,packaged,7364,2939,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,crude,packaged,4352,390,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,distilled,packaged,8122,400,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,terpene,packaged,4733,3085,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,sift,packaged,9686,6047,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,biomass,packaged,1839,8809,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,hash,packaged,4219,4960,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,seeds,unpackaged,1282,2336,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,plants,unpackaged,880,1949,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,g-wet,unpackaged,5141,2844,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,dry,unpackaged,4569,5262,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,cured,unpackaged,912,5451,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,crude,unpackaged,1178,9091,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,distilled,unpackaged,1931,2861,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,terpene,unpackaged,7013,530,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,sift,unpackaged,130,5140,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,biomass,unpackaged,8317,4164,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
G13,hash,unpackaged,5913,9476,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,seeds,packaged,8568,547,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,plants,packaged,7738,6124,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,g-wet,packaged,5528,7753,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,dry,packaged,4391,2078,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,cured,packaged,2272,2922,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,crude,packaged,9625,9667,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,distilled,packaged,2843,6703,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,terpene,packaged,9790,8352,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,sift,packaged,4877,3103,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,biomass,packaged,3487,6584,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,hash,packaged,7274,5083,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,seeds,unpackaged,1597,6730,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,plants,unpackaged,437,9203,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,g-wet,unpackaged,5564,8340,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,dry,unpackaged,4894,4259,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,cured,unpackaged,5531,8565,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,crude,unpackaged,7388,9062,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,distilled,unpackaged,5691,4360,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,terpene,unpackaged,387,9410,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,sift,unpackaged,8001,4929,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,biomass,unpackaged,4834,7204,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Bubba Kush,hash,unpackaged,8398,2503,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,seeds,packaged,1609,1777,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,plants,packaged,4738,3341,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,g-wet,packaged,7595,6390,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,dry,packaged,2365,4100,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,cured,packaged,1085,7463,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,crude,packaged,2752,5141,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,distilled,packaged,8008,8456,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,terpene,packaged,167,267,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,sift,packaged,3796,3511,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,biomass,packaged,6052,5360,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,hash,packaged,3031,7372,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,seeds,unpackaged,2663,869,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,plants,unpackaged,7224,4001,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,g-wet,unpackaged,2975,9290,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,dry,unpackaged,9057,5424,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,cured,unpackaged,898,6510,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,crude,unpackaged,7346,5752,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,distilled,unpackaged,7085,8397,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,terpene,unpackaged,4933,558,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,sift,unpackaged,5411,2956,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,biomass,unpackaged,8037,5089,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Kush,hash,unpackaged,8076,1224,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,seeds,packaged,2425,8221,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,plants,packaged,1259,4763,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,g-wet,packaged,8341,9325,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,dry,packaged,3023,4310,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,cured,packaged,3829,7450,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,crude,packaged,2610,3657,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,distilled,packaged,7931,1376,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,terpene,packaged,3721,8052,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,sift,packaged,6291,6144,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,biomass,packaged,7354,7746,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,hash,packaged,1238,892,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,seeds,unpackaged,9208,7467,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,plants,unpackaged,406,3385,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,g-wet,unpackaged,8121,4406,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,dry,unpackaged,9596,2761,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,cured,unpackaged,8943,6205,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,crude,unpackaged,8568,6299,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,distilled,unpackaged,1902,4307,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,terpene,unpackaged,3304,3103,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,sift,unpackaged,2681,4688,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,biomass,unpackaged,2113,1857,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
LA Confidential,hash,unpackaged,2151,7457,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,seeds,packaged,3157,5514,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,plants,packaged,4776,151,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,g-wet,packaged,1607,1486,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,dry,packaged,4675,5250,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,cured,packaged,3264,7741,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,crude,packaged,436,5075,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,distilled,packaged,9267,1701,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,terpene,packaged,9829,3613,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,sift,packaged,9270,2888,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,biomass,packaged,3996,1604,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,hash,packaged,5134,9258,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,seeds,unpackaged,7059,5389,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,plants,unpackaged,6169,1343,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,g-wet,unpackaged,3941,3081,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,dry,unpackaged,9756,9257,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,cured,unpackaged,7539,7420,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,crude,unpackaged,1407,8737,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,distilled,unpackaged,3888,1597,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,terpene,unpackaged,1641,8888,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,sift,unpackaged,6305,7692,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,biomass,unpackaged,5666,1063,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
9 Pound Hammer,hash,unpackaged,4259,6637,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Urkle,seeds,packaged,8839,1265,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Urkle,plants,packaged,5022,7333,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Urkle,g-wet,packaged,1265,197,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
Purple Urkle,dry,packaged,7794,5105,Supplier,maintenance@groweriq.ca,maintenance@groweriq.ca,maintenance@groweriq.ca,Received Inventory Room,0,0,14-04-2022,4
